,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
5261,2.0,7.377241958927e-312,7.37724195932e-312,7.377241959717e-312,7.37724196011e-312,7.37724196051e-312,7.377241960903e-312,7.3772419613e-312,7.377241961693e-312,7.37724196209e-312
5262,2.0,7.37724196288e-312,7.377241963274e-312,7.37724196367e-312,7.377241964065e-312,7.37724196446e-312,7.377241964855e-312,7.37724196525e-312,7.377241965646e-312,7.37724196604e-312
5263,2.0,7.37724196683e-312,7.377241967227e-312,7.37724196762e-312,7.377241968017e-312,7.377241968413e-312,7.37724196881e-312,7.377241969203e-312,7.3772419696e-312,7.377241969994e-312
5264,2.0,7.377241970784e-312,7.37724197118e-312,7.377241971575e-312,7.37724197197e-312,7.377241972365e-312,7.37724197276e-312,7.377241973156e-312,7.37724197355e-312,7.377241973946e-312
5265,2.0,7.377241974737e-312,7.37724197513e-312,7.377241975527e-312,7.377241975923e-312,7.37724197632e-312,7.377241976713e-312,7.37724197711e-312,7.377241977504e-312,7.3772419779e-312
5266,2.0,7.37724197869e-312,7.377241979085e-312,7.37724197948e-312,7.377241979875e-312,7.37724198027e-312,7.377241980666e-312,7.37724198106e-312,7.377241981456e-312,7.37724198185e-312
5267,2.0,7.37724198264e-312,7.377241983037e-312,7.37724198343e-312,7.37724198383e-312,7.377241984223e-312,7.37724198462e-312,7.377241985013e-312,7.37724198541e-312,7.377241985804e-312
5268,2.0,7.377241986594e-312,7.37724198699e-312,7.377241987385e-312,7.37724198778e-312,7.377241988175e-312,7.37724198857e-312,7.377241988966e-312,7.37724198936e-312,7.377241989756e-312
5269,2.0,7.377241990547e-312,7.37724199094e-312,7.377241991337e-312,7.377241991733e-312,7.37724199213e-312,7.377241992523e-312,7.37724199292e-312,7.377241993314e-312,7.37724199371e-312
5270,2.0,7.3772419945e-312,7.377241994895e-312,7.37724199529e-312,7.377241995685e-312,7.37724199608e-312,7.377241996476e-312,7.37724199687e-312,7.377241997266e-312,7.37724199766e-312
5271,2.0,7.37724199845e-312,7.377241998847e-312,7.37724199924e-312,7.37724199964e-312,7.377242000033e-312,7.37724200043e-312,7.377242000823e-312,7.37724200122e-312,7.377242001614e-312
5272,2.0,7.377242002404e-312,7.3772420028e-312,7.377242003195e-312,7.37724200359e-312,7.377242003985e-312,7.37724200438e-312,7.377242004776e-312,7.37724200517e-312,7.377242005566e-312
5273,2.0,7.377242006357e-312,7.37724200707e-312,7.377242007464e-312,7.37724200786e-312,7.377242008254e-312,7.37724200865e-312,7.377242009045e-312,7.37724200944e-312,7.377242009835e-312
5274,2.0,7.377242010626e-312,7.37724201102e-312,7.377242011416e-312,7.37724201181e-312,7.377242012207e-312,7.3772420126e-312,7.377242012997e-312,7.377242013392e-312,7.37724201379e-312
5275,2.0,7.37724201458e-312,7.37724099301e-312,7.377242014973e-312,7.37724201537e-312,7.377242015764e-312,7.37724201616e-312,7.377242016555e-312,7.37724201695e-312,7.377242017345e-312
5276,2.0,7.377242018136e-312,7.37724201853e-312,7.377242018926e-312,7.37724201932e-312,7.377242019717e-312,7.37724202011e-312,7.377242020507e-312,7.3772420209e-312,7.3772420213e-312
5277,2.0,7.37724202209e-312,7.377242022483e-312,7.37724202288e-312,7.377242023274e-312,7.37724202367e-312,7.377242024064e-312,7.37724202446e-312,7.377242024855e-312,7.37724202525e-312
5278,2.0,7.37724202604e-312,7.377242026436e-312,7.37724202683e-312,7.377242027226e-312,7.37724202762e-312,7.377242028017e-312,7.37724202841e-312,7.377242028807e-312,7.377242029203e-312
5279,2.0,7.377242029993e-312,7.37724203039e-312,7.377242030784e-312,7.37724203118e-312,7.377242031574e-312,7.37724203197e-312,7.377242032365e-312,7.37724203276e-312,7.377242033155e-312
5280,2.0,7.377242033946e-312,7.37724203434e-312,7.377242034736e-312,7.37724203513e-312,7.377242035527e-312,7.37724203592e-312,7.377242036317e-312,7.37724203671e-312,7.37724203711e-312
5281,2.0,7.3772420379e-312,7.377242038293e-312,7.37724203869e-312,7.377242039084e-312,7.37724203948e-312,7.377242039874e-312,7.37724204027e-312,7.377242040665e-312,7.37724204106e-312
5282,2.0,7.37724204185e-312,7.377242042246e-312,7.37724204264e-312,7.377242043036e-312,7.37724204343e-312,7.377242043827e-312,7.37724204422e-312,7.377242044617e-312,7.377242045013e-312
5283,2.0,7.377242045803e-312,7.3772420462e-312,7.377242046594e-312,7.37724204699e-312,7.377242047384e-312,7.37724204778e-312,7.377242048175e-312,7.37724204857e-312,7.377242048965e-312
5284,2.0,7.377242049756e-312,7.37724205015e-312,7.377242050546e-312,7.37724205094e-312,7.377242051337e-312,7.37724205173e-312,7.377242052127e-312,7.377242052522e-312,7.37724205292e-312
5285,2.0,7.37724205371e-312,7.377242054103e-312,7.3772420545e-312,7.377242054894e-312,7.37724205529e-312,7.377242055685e-312,7.37724205608e-312,7.377242056475e-312,7.37724205687e-312
5286,2.0,7.37724205766e-312,7.377242058056e-312,7.37724205845e-312,7.377242058847e-312,7.37724205924e-312,7.377242059637e-312,7.37724206003e-312,7.37724206043e-312,7.377242060823e-312
5287,2.0,7.377242061613e-312,7.37724206201e-312,7.377242062404e-312,7.3772420628e-312,7.377242063194e-312,7.37724206359e-312,7.377242063985e-312,7.37724206438e-312,7.377242064775e-312
5288,2.0,7.377242065566e-312,7.37724206596e-312,7.377242066356e-312,7.37724206675e-312,7.377242067147e-312,7.37724206754e-312,7.377242067937e-312,7.377242068333e-312,7.37724206873e-312
5289,2.0,7.37724206952e-312,7.377242069914e-312,7.37724207031e-312,7.377242070704e-312,7.3772420711e-312,7.377242071495e-312,7.37724207189e-312,7.377242072285e-312,7.37724207268e-312
5290,2.0,7.37724207347e-312,7.377242073866e-312,7.37724207426e-312,7.377242074657e-312,7.37724207505e-312,7.377242075447e-312,7.37724207584e-312,7.37724207624e-312,7.377242076633e-312
5291,2.0,7.377242077423e-312,7.37724207782e-312,7.377242078214e-312,7.37724207861e-312,7.377242079004e-312,7.3772420794e-312,7.377242079795e-312,7.37724208019e-312,7.377242080585e-312
5292,2.0,7.377242081376e-312,7.37724208177e-312,7.377242082166e-312,7.37724208256e-312,7.377242082957e-312,7.37724208335e-312,7.377242083747e-312,7.377242084143e-312,7.37724208454e-312
5293,2.0,7.37724208533e-312,7.377242085724e-312,7.37724208612e-312,7.377242086514e-312,7.37724208691e-312,7.377242087305e-312,7.377242088016e-312,7.37724208841e-312,7.377242088807e-312
5294,2.0,7.377242089597e-312,7.37724208999e-312,7.37724209039e-312,7.377242090783e-312,7.37724209118e-312,7.377242091573e-312,7.37724209197e-312,7.377242092364e-312,7.37724209276e-312
5295,2.0,7.37724209355e-312,7.377242093945e-312,7.37724209434e-312,7.377242094735e-312,7.37724209513e-312,7.377242095526e-312,7.37724209592e-312,7.377242096316e-312,7.37724209671e-312
5296,2.0,7.3772420975e-312,7.377242097897e-312,7.377242098293e-312,7.37724209869e-312,7.377242099083e-312,7.37724209948e-312,7.377242099874e-312,7.37724210027e-312,7.377242100664e-312
5297,2.0,7.377242101455e-312,7.37724210185e-312,7.377242102245e-312,7.37724210264e-312,7.377242103036e-312,7.37724210343e-312,7.377242103826e-312,7.37724210422e-312,7.377242104617e-312
5298,2.0,7.377242105407e-312,7.377242105803e-312,7.3772421062e-312,7.377242106593e-312,7.37724210699e-312,7.377242107384e-312,7.37724210778e-312,7.377242108174e-312,7.37724210857e-312
5299,2.0,7.37724210936e-312,7.377242109755e-312,7.37724211015e-312,7.377242110546e-312,7.37724211094e-312,7.377242111336e-312,7.37724211173e-312,7.377242112127e-312,7.37724211252e-312
5300,2.0,7.37724211331e-312,7.37724211371e-312,7.377242114103e-312,7.3772421145e-312,7.377242114893e-312,7.37724211529e-312,7.377242115684e-312,7.37724211608e-312,7.377242116474e-312
5301,2.0,7.377242117265e-312,7.37724211766e-312,7.377242118055e-312,7.37724211845e-312,7.377242118846e-312,7.37724211924e-312,7.377242119636e-312,7.37724212003e-312,7.377242120427e-312
5302,2.0,7.377242121217e-312,7.377242121613e-312,7.37724212201e-312,7.377242122403e-312,7.3772421228e-312,7.377242123194e-312,7.37724212359e-312,7.377242123984e-312,7.37724212438e-312
5303,2.0,7.37724212517e-312,7.377242125565e-312,7.37724212596e-312,7.377242126356e-312,7.37724212675e-312,7.377242127146e-312,7.37724212754e-312,7.377242127937e-312,7.37724212833e-312
5304,2.0,7.37724212912e-312,7.37724212952e-312,7.377242129913e-312,7.37724213031e-312,7.377242130703e-312,7.3772421311e-312,7.377242131494e-312,7.37724213189e-312,7.377242132284e-312
5305,2.0,7.377242133075e-312,7.37724213347e-312,7.377242133865e-312,7.37724213426e-312,7.377242134656e-312,7.37724213505e-312,7.377242135446e-312,7.37724213584e-312,7.377242136237e-312
5306,2.0,7.377242137027e-312,7.377242137423e-312,7.37724213782e-312,7.377242138213e-312,7.37724213861e-312,7.377242139004e-312,7.3772421394e-312,7.377242139794e-312,7.37724214019e-312
5307,2.0,7.37724214098e-312,7.377242141375e-312,7.37724214177e-312,7.377242142166e-312,7.37724214256e-312,7.377242142956e-312,7.37724214335e-312,7.377242143747e-312,7.37724214414e-312
5308,2.0,7.377242144933e-312,7.37724214533e-312,7.377242145723e-312,7.37724214612e-312,7.377242146514e-312,7.37724214691e-312,7.377242147304e-312,7.3772421477e-312,7.377242148095e-312
5309,2.0,7.377242148885e-312,7.37724214928e-312,7.377242149676e-312,7.37724215007e-312,7.377242150466e-312,7.37724215086e-312,7.377242151257e-312,7.37724215165e-312,7.377242152047e-312
5310,2.0,7.37724215284e-312,7.377242153233e-312,7.37724215363e-312,7.377242154023e-312,7.37724215442e-312,7.377242154814e-312,7.37724215521e-312,7.377242155604e-312,7.377242156e-312
5311,2.0,7.37724215679e-312,7.377242157185e-312,7.37724215758e-312,7.377242157976e-312,7.37724215837e-312,7.377242158766e-312,7.37724215916e-312,7.377242159557e-312,7.37724215995e-312
5312,2.0,7.377242160743e-312,7.37724216114e-312,7.377242161533e-312,7.37724216193e-312,7.377242162324e-312,7.37724216272e-312,7.377242163114e-312,7.37724216351e-312,7.377242163905e-312
5313,2.0,7.377242164695e-312,7.37724216509e-312,7.377242165486e-312,7.37724216588e-312,7.377242166276e-312,7.37724216667e-312,7.377242167067e-312,7.37724216746e-312,7.377242167857e-312
5314,2.0,7.377242168964e-312,7.37724216936e-312,7.377242169754e-312,7.37724217015e-312,7.377242170545e-312,7.37724217094e-312,7.377242171335e-312,7.37724217173e-312,7.377242172126e-312
5315,2.0,7.377242172916e-312,7.37724217331e-312,7.377242173707e-312,7.3772421741e-312,7.377242174497e-312,7.377242174893e-312,7.37724217529e-312,7.377242175683e-312,7.37724217608e-312
5316,2.0,7.37724217687e-312,7.377242177264e-312,7.37724217766e-312,7.377242178055e-312,7.37724217845e-312,7.377242178845e-312,7.37724217924e-312,7.377242179636e-312,7.37724218003e-312
5317,2.0,7.37724218082e-312,7.377242181217e-312,7.37724218161e-312,7.377242182007e-312,7.3772421824e-312,7.3772421828e-312,7.377242183193e-312,7.37724218359e-312,7.377242183983e-312
5318,2.0,7.377242184774e-312,7.37724218517e-312,7.377242185564e-312,7.37724218596e-312,7.377242186355e-312,7.37724218675e-312,7.377242187145e-312,7.37724218754e-312,7.377242187936e-312
5319,2.0,7.377242188727e-312,7.37724218912e-312,7.377242189517e-312,7.37724218991e-312,7.377242190308e-312,7.377242190703e-312,7.3772421911e-312,7.377242191493e-312,7.37724219189e-312
5320,2.0,7.37724219268e-312,7.377242193074e-312,7.37724219347e-312,7.377242193865e-312,7.37724219426e-312,7.377242194655e-312,7.37724219505e-312,7.377242195446e-312,7.37724219584e-312
5321,2.0,7.37724219663e-312,7.377242197027e-312,7.37724219742e-312,7.377242197817e-312,7.377242198213e-312,7.37724219861e-312,7.377242199003e-312,7.3772421994e-312,7.377242199794e-312
5322,2.0,7.377242200584e-312,7.37724220098e-312,7.377242201375e-312,7.37724220177e-312,7.377242202165e-312,7.37724220256e-312,7.377242202956e-312,7.37724220335e-312,7.377242203746e-312
5323,2.0,7.377242204537e-312,7.37724220493e-312,7.377242205327e-312,7.37724220572e-312,7.37724220612e-312,7.377242206513e-312,7.37724220691e-312,7.377242207303e-312,7.3772422077e-312
5324,2.0,7.37724220849e-312,7.377242208884e-312,7.37724220928e-312,7.377242209675e-312,7.37724221007e-312,7.377242210465e-312,7.37724221086e-312,7.377242211256e-312,7.37724221165e-312
5325,2.0,7.37724221244e-312,7.377242212837e-312,7.37724221323e-312,7.377242213627e-312,7.377242214023e-312,7.37724221442e-312,7.377242214813e-312,7.37724221521e-312,7.377242215604e-312
5326,2.0,7.377242216394e-312,7.37724221679e-312,7.377242217185e-312,7.37724221758e-312,7.377242217975e-312,7.37724221837e-312,7.377242218766e-312,7.37724221916e-312,7.377242219556e-312
5327,2.0,7.377242220347e-312,7.37724222074e-312,7.377242221137e-312,7.37724222153e-312,7.37724222193e-312,7.377242222323e-312,7.37724222272e-312,7.377242223113e-312,7.37724222351e-312
5328,2.0,7.3772422243e-312,7.377242224694e-312,7.37724222509e-312,7.377242225485e-312,7.37724222588e-312,7.377242226275e-312,7.37724222667e-312,7.377242227066e-312,7.37724222746e-312
5329,2.0,7.37724222825e-312,7.377242228647e-312,7.37724222904e-312,7.377242229438e-312,7.377242229833e-312,7.37724223023e-312,7.377242230623e-312,7.37724223102e-312,7.377242231414e-312
5330,2.0,7.377242232204e-312,7.3772422326e-312,7.377242232995e-312,7.37724223339e-312,7.377242233785e-312,7.37724223418e-312,7.377242234576e-312,7.37724223497e-312,7.377242235366e-312
5331,2.0,7.377242236157e-312,7.37724223655e-312,7.377242236947e-312,7.377242237343e-312,7.37724223774e-312,7.377242238133e-312,7.37724223853e-312,7.377242238924e-312,7.37724223932e-312
5332,2.0,7.37724224011e-312,7.377242240505e-312,7.3772422409e-312,7.377242241295e-312,7.37724224169e-312,7.377242242086e-312,7.37724224248e-312,7.377242242876e-312,7.37724224327e-312
5333,2.0,7.37724224406e-312,7.377242244457e-312,7.37724224485e-312,7.37724224525e-312,7.377242245643e-312,7.37724224604e-312,7.377242246433e-312,7.37724224683e-312,7.377242247224e-312
5334,2.0,7.377242248014e-312,7.37724224841e-312,7.377242248805e-312,7.3772422492e-312,7.37724224991e-312,7.377242250307e-312,7.3772422507e-312,7.377242251097e-312,7.377242251493e-312
5335,2.0,7.377242252283e-312,7.37724225268e-312,7.377242253074e-312,7.37724225347e-312,7.377242253864e-312,7.37724225426e-312,7.377242254655e-312,7.37724225505e-312,7.377242255445e-312
5336,2.0,7.377242256236e-312,7.37724225663e-312,7.377242257026e-312,7.37724225742e-312,7.377242257817e-312,7.37724225821e-312,7.377242258607e-312,7.377242259e-312,7.3772422594e-312
5337,2.0,7.37724226019e-312,7.377242260583e-312,7.37724226098e-312,7.377242261374e-312,7.37724226177e-312,7.377242262164e-312,7.37724226256e-312,7.377242262955e-312,7.37724226335e-312
5338,2.0,7.37724226414e-312,7.377242264536e-312,7.37724226493e-312,7.377242265326e-312,7.37724226572e-312,7.377242266117e-312,7.37724226651e-312,7.377242266907e-312,7.377242267303e-312
5339,2.0,7.377242268093e-312,7.37724226849e-312,7.377242268884e-312,7.37724226928e-312,7.377242269674e-312,7.37724227007e-312,7.377242270465e-312,7.37724227086e-312,7.377242271255e-312
5340,2.0,7.377242272046e-312,7.37724227244e-312,7.377242272836e-312,7.37724227323e-312,7.377242273627e-312,7.37724227402e-312,7.377242274417e-312,7.377242274812e-312,7.37724227521e-312
5341,2.0,7.377242276e-312,7.377242276394e-312,7.37724227679e-312,7.377242277184e-312,7.37724227758e-312,7.377242277975e-312,7.37724227837e-312,7.377242278765e-312,7.37724227916e-312
5342,2.0,7.37724227995e-312,7.377242280346e-312,7.37724228074e-312,7.377242281137e-312,7.37724228153e-312,7.377242281927e-312,7.37724228232e-312,7.37724228272e-312,7.377242283113e-312
5343,2.0,7.377242283903e-312,7.3772422843e-312,7.377242284694e-312,7.37724228509e-312,7.377242285484e-312,7.37724228588e-312,7.377242286275e-312,7.37724228667e-312,7.377242287065e-312
5344,2.0,7.377242287856e-312,7.37724228825e-312,7.377242288646e-312,7.37724228904e-312,7.377242289437e-312,7.37724228983e-312,7.377242290227e-312,7.377242290623e-312,7.37724229102e-312
5345,2.0,7.37724229181e-312,7.377242292204e-312,7.3772422926e-312,7.377242292994e-312,7.37724229339e-312,7.377242293785e-312,7.37724229418e-312,7.377242294575e-312,7.37724229497e-312
5346,2.0,7.37724229576e-312,7.377242296156e-312,7.37724229655e-312,7.377242296947e-312,7.37724229734e-312,7.377242297737e-312,7.37724229813e-312,7.37724229853e-312,7.377242298923e-312
5347,2.0,7.377242299713e-312,7.37724230011e-312,7.377242300504e-312,7.3772423009e-312,7.377242301294e-312,7.37724230169e-312,7.377242302085e-312,7.37724230248e-312,7.377242302875e-312
5348,2.0,7.377242303666e-312,7.37724230406e-312,7.377242304456e-312,7.37724230485e-312,7.377242305247e-312,7.37724230564e-312,7.377242306037e-312,7.377242306433e-312,7.37724230683e-312
5349,2.0,7.37724230762e-312,7.377242308014e-312,7.37724230841e-312,7.377242308804e-312,7.3772423092e-312,7.377242309595e-312,7.37724230999e-312,7.377242310385e-312,7.37724231078e-312
5350,2.0,7.37724231157e-312,7.377242311966e-312,7.37724231236e-312,7.377242312757e-312,7.37724231315e-312,7.377242313547e-312,7.377242313942e-312,7.37724231434e-312,7.377242314733e-312
5351,2.0,7.377242315524e-312,7.37724231592e-312,7.377242316314e-312,7.37724231671e-312,7.377242317105e-312,7.3772423175e-312,7.377242317895e-312,7.37724231829e-312,7.377242318686e-312
5352,2.0,7.377242319476e-312,7.37724231987e-312,7.377242320267e-312,7.37724232066e-312,7.377242321057e-312,7.37724232145e-312,7.37724232185e-312,7.377242322243e-312,7.37724232264e-312
5353,2.0,7.37724232343e-312,7.377242323824e-312,7.37724232422e-312,7.377242324614e-312,7.37724232501e-312,7.377242325405e-312,7.3772423258e-312,7.377242326195e-312,7.37724232659e-312
5354,2.0,7.37724232738e-312,7.377242327776e-312,7.37724232817e-312,7.377242328567e-312,7.37724232896e-312,7.377242329357e-312,7.377242329753e-312,7.37724233015e-312,7.37724233086e-312
5355,2.0,7.37724233165e-312,7.377242332045e-312,7.37724233244e-312,7.377242332836e-312,7.37724233323e-312,7.377242333626e-312,7.37724233402e-312,7.377242334417e-312,7.37724233481e-312
5356,2.0,7.3772423356e-312,7.377242336e-312,7.377242336393e-312,7.37724233679e-312,7.377242337183e-312,7.37724233758e-312,7.377242337974e-312,7.37724233837e-312,7.377242338764e-312
5357,2.0,7.377242339555e-312,7.37724233995e-312,7.377242340345e-312,7.37724234074e-312,7.377242341136e-312,7.37724234153e-312,7.377242341926e-312,7.37724234232e-312,7.377242342717e-312
5358,2.0,7.377242343507e-312,7.377242343903e-312,7.3772423443e-312,7.377242344693e-312,7.37724234509e-312,7.377242345484e-312,7.37724234588e-312,7.377242346274e-312,7.37724234667e-312
5359,2.0,7.37724234746e-312,7.377242347855e-312,7.37724234825e-312,7.377242348646e-312,7.37724234904e-312,7.377242349436e-312,7.37724234983e-312,7.377242350227e-312,7.37724235062e-312
5360,2.0,7.37724235141e-312,7.37724235181e-312,7.377242352203e-312,7.3772423526e-312,7.377242352993e-312,7.37724235339e-312,7.377242353784e-312,7.37724235418e-312,7.377242354574e-312
5361,2.0,7.377242355365e-312,7.37724235576e-312,7.377242356155e-312,7.37724235655e-312,7.377242356946e-312,7.37724235734e-312,7.377242357736e-312,7.37724235813e-312,7.377242358527e-312
5362,2.0,7.377242359317e-312,7.377242359713e-312,7.37724236011e-312,7.377242360503e-312,7.3772423609e-312,7.377242361294e-312,7.37724236169e-312,7.377242362084e-312,7.37724236248e-312
5363,2.0,7.37724236327e-312,7.377242363665e-312,7.37724236406e-312,7.377242364456e-312,7.37724236485e-312,7.377242365246e-312,7.37724236564e-312,7.377242366037e-312,7.37724236643e-312
5364,2.0,7.377242367223e-312,7.37724236762e-312,7.377242368013e-312,7.37724236841e-312,7.377242368804e-312,7.3772423692e-312,7.377242369594e-312,7.37724236999e-312,7.377242370385e-312
5365,2.0,7.377242371175e-312,7.37724237157e-312,7.377242371966e-312,7.37724237236e-312,7.377242372756e-312,7.37724237315e-312,7.377242373547e-312,7.37724237394e-312,7.377242374337e-312
5366,2.0,7.37724237513e-312,7.377242375523e-312,7.37724237592e-312,7.377242376313e-312,7.37724237671e-312,7.377242377104e-312,7.3772423775e-312,7.377242377894e-312,7.37724237829e-312
5367,2.0,7.37724237908e-312,7.377242379475e-312,7.37724237987e-312,7.377242380266e-312,7.37724238066e-312,7.377242381056e-312,7.37724238145e-312,7.377242381847e-312,7.37724238224e-312
5368,2.0,7.377242383033e-312,7.37724238343e-312,7.377242383823e-312,7.37724238422e-312,7.377242384614e-312,7.37724238501e-312,7.377242385404e-312,7.3772423858e-312,7.377242386195e-312
5369,2.0,7.377242386985e-312,7.37724238738e-312,7.377242387776e-312,7.37724238817e-312,7.377242388566e-312,7.37724238896e-312,7.377242389357e-312,7.37724238975e-312,7.377242390147e-312
5370,2.0,7.37724239094e-312,7.377242391333e-312,7.37724239173e-312,7.377242392123e-312,7.37724239252e-312,7.377242392914e-312,7.37724239331e-312,7.377242393704e-312,7.3772423941e-312
5371,2.0,7.37724239489e-312,7.377242395285e-312,7.37724239568e-312,7.377242396076e-312,7.37724239647e-312,7.377242396866e-312,7.37724239726e-312,7.377242397657e-312,7.37724239805e-312
5372,2.0,7.377242398843e-312,7.37724239924e-312,7.377242399633e-312,7.37724240003e-312,7.377242400424e-312,7.37724240082e-312,7.377242401214e-312,7.37724240161e-312,7.377242402005e-312
5373,2.0,7.377242402795e-312,7.37724240319e-312,7.377242403586e-312,7.37724240398e-312,7.377242404376e-312,7.37724240477e-312,7.377242405167e-312,7.37724240556e-312,7.377242405957e-312
5374,2.0,7.37724240675e-312,7.377242407143e-312,7.37724240754e-312,7.377242407934e-312,7.37724240833e-312,7.377242408724e-312,7.37724240912e-312,7.377242409515e-312,7.37724240991e-312
5375,2.0,7.3772424107e-312,7.377242411096e-312,7.377242411807e-312,7.3772424122e-312,7.377242412598e-312,7.377242412993e-312,7.37724241339e-312,7.377242413783e-312,7.37724241418e-312
5376,2.0,7.37724241497e-312,7.377242415364e-312,7.37724241576e-312,7.377242416155e-312,7.37724241655e-312,7.377242416945e-312,7.37724241734e-312,7.377242417736e-312,7.37724241813e-312
5377,2.0,7.37724241892e-312,7.377242419317e-312,7.37724241971e-312,7.377242420107e-312,7.377242420503e-312,7.3772424209e-312,7.377242421293e-312,7.37724242169e-312,7.377242422084e-312
5378,2.0,7.377242422874e-312,7.37724242327e-312,7.377242423665e-312,7.37724242406e-312,7.377242424455e-312,7.37724242485e-312,7.377242425246e-312,7.37724242564e-312,7.377242426036e-312
5379,2.0,7.377242426827e-312,7.37724242722e-312,7.377242427617e-312,7.37724242801e-312,7.37724242841e-312,7.377242428803e-312,7.3772424292e-312,7.377242429593e-312,7.37724242999e-312
5380,2.0,7.37724243078e-312,7.377242431174e-312,7.37724243157e-312,7.377242431965e-312,7.37724243236e-312,7.377242432755e-312,7.37724243315e-312,7.377242433546e-312,7.37724243394e-312
5381,2.0,7.37724243473e-312,7.377242435127e-312,7.37724243552e-312,7.377242435917e-312,7.377242436313e-312,7.37724243671e-312,7.377242437103e-312,7.3772424375e-312,7.377242437894e-312
5382,2.0,7.377242438684e-312,7.37724243908e-312,7.377240993325e-312,7.377242439475e-312,7.37724243987e-312,7.377242440265e-312,7.37724244066e-312,7.377242441056e-312,7.37724244145e-312
5383,2.0,7.37724244224e-312,7.377242442637e-312,7.37724244303e-312,7.377242443427e-312,7.377242443822e-312,7.37724244422e-312,7.377242444613e-312,7.37724244501e-312,7.377242445403e-312
5384,2.0,7.377242446194e-312,7.37724244659e-312,7.377242446984e-312,7.37724244738e-312,7.377242447775e-312,7.37724244817e-312,7.377242448566e-312,7.37724244896e-312,7.377242449356e-312
5385,2.0,7.377242450147e-312,7.37724245054e-312,7.377242450937e-312,7.37724245133e-312,7.377242451728e-312,7.377242452123e-312,7.37724245252e-312,7.377242452913e-312,7.37724245331e-312
5386,2.0,7.3772424541e-312,7.377242454494e-312,7.37724245489e-312,7.377242455285e-312,7.37724245568e-312,7.377242456075e-312,7.37724245647e-312,7.377242456866e-312,7.37724245726e-312
5387,2.0,7.37724245805e-312,7.377242458447e-312,7.37724245884e-312,7.377242459237e-312,7.377242459633e-312,7.37724246003e-312,7.377242460423e-312,7.37724246082e-312,7.377242461214e-312
5388,2.0,7.377242462004e-312,7.3772424624e-312,7.377242462795e-312,7.37724246319e-312,7.377242463585e-312,7.37724246398e-312,7.377242464376e-312,7.37724246477e-312,7.377242465166e-312
5389,2.0,7.377242465957e-312,7.37724246635e-312,7.377242466747e-312,7.37724246714e-312,7.37724246754e-312,7.377242467933e-312,7.37724246833e-312,7.377242468723e-312,7.37724246912e-312
5390,2.0,7.37724246991e-312,7.377242470304e-312,7.3772424707e-312,7.377242471095e-312,7.37724247149e-312,7.377242471885e-312,7.37724247228e-312,7.377242472676e-312,7.37724247307e-312
5391,2.0,7.37724247386e-312,7.377242474257e-312,7.37724247465e-312,7.377242475047e-312,7.377242475443e-312,7.37724247584e-312,7.377242476233e-312,7.37724247663e-312,7.377242477024e-312
5392,2.0,7.377242477814e-312,7.37724247821e-312,7.377242478605e-312,7.377242479e-312,7.377242479395e-312,7.37724247979e-312,7.377242480186e-312,7.37724248058e-312,7.377242480976e-312
5393,2.0,7.377242481767e-312,7.37724248216e-312,7.377242482557e-312,7.377242482952e-312,7.37724248335e-312,7.377242483743e-312,7.37724248414e-312,7.377242484533e-312,7.37724248493e-312
5394,2.0,7.37724248572e-312,7.377242486114e-312,7.37724248651e-312,7.377242486905e-312,7.3772424873e-312,7.377242487696e-312,7.37724248809e-312,7.377242488486e-312,7.37724248888e-312
5395,2.0,7.37724248967e-312,7.377242490067e-312,7.37724249046e-312,7.377242490858e-312,7.377242491253e-312,7.37724249165e-312,7.377242492043e-312,7.377242492755e-312,7.37724249315e-312
5396,2.0,7.37724249394e-312,7.377242494336e-312,7.37724249473e-312,7.377242495126e-312,7.37724249552e-312,7.377242495917e-312,7.37724249631e-312,7.377242496707e-312,7.377242497103e-312
5397,2.0,7.377242497893e-312,7.37724249829e-312,7.377242498684e-312,7.37724249908e-312,7.377242499474e-312,7.37724249987e-312,7.377242500265e-312,7.37724250066e-312,7.377242501055e-312
5398,2.0,7.377242501846e-312,7.37724250224e-312,7.377242502636e-312,7.37724250303e-312,7.377242503427e-312,7.37724250382e-312,7.377242504217e-312,7.37724250461e-312,7.37724250501e-312
5399,2.0,7.3772425058e-312,7.377242506193e-312,7.37724250659e-312,7.377242506984e-312,7.37724250738e-312,7.377242507774e-312,7.37724250817e-312,7.377242508565e-312,7.37724250896e-312
5400,2.0,7.37724250975e-312,7.377242510146e-312,7.37724251054e-312,7.377242510936e-312,7.37724251133e-312,7.377242511727e-312,7.37724251212e-312,7.377242512517e-312,7.377242512913e-312
5401,2.0,7.377242513703e-312,7.3772425141e-312,7.377242514494e-312,7.37724251489e-312,7.377242515284e-312,7.37724251568e-312,7.377242516075e-312,7.37724251647e-312,7.377242516865e-312
5402,2.0,7.377242517656e-312,7.37724251805e-312,7.377242518446e-312,7.37724251884e-312,7.377242519237e-312,7.37724251963e-312,7.377242520027e-312,7.37724252042e-312,7.37724252082e-312
5403,2.0,7.37724252161e-312,7.377242522003e-312,7.3772425224e-312,7.377242522794e-312,7.37724252319e-312,7.377242523584e-312,7.37724252398e-312,7.377242524375e-312,7.37724252477e-312
5404,2.0,7.37724252556e-312,7.377242525956e-312,7.37724252635e-312,7.377242526746e-312,7.37724252714e-312,7.377242527537e-312,7.37724252793e-312,7.377242528327e-312,7.377242528723e-312
