RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
72.65093457943925,0.0,4.45619141424e-313,5.3049897306e-313,1e-322,6.9524185228385e-310,0.0,1.188317643193e-312,4.45619141424e-313,5.3049897306e-313
13.407850467289718,1.1507868266345e-311,6.3023e-320,1.1507868266187e-311,5.613e-321,1.1507868266345e-311,1.124657832235e-312,1.150786826682e-311,1.5e-323,1.1507868264606e-311
0.4970560747663551,1.1507868266345e-311,3.18299393966e-313,5.3049897306e-313,5.52e-321,1.1507868267136e-311,6.3023e-320,1.150786826524e-311,1.018557985177e-312,1.1507868267136e-311
2.7803738317757007,1.1507868267373e-311,5.51e-321,1.1507868267136e-311,6.3023e-320,1.150786826753e-311,5.45e-321,1.1507868267136e-311,1.103437874325e-312,1.150786826769e-311
2.684532710280374,1.1507868267136e-311,0.0,1.697596886e-313,5.3049897306e-313,5.583e-321,1.1507868056545e-311,6.3033e-320,0.0,1.06099789574e-312
2.7803738317757007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12465776921e-312,1.103437811544e-312
72.65093457943925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.039777937835e-312
2.684532710280374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12465776921e-312
1.444906542056075,2.6e-322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.95696261682243,1.14587772738e-312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17504672897196263,1.103437811544e-312,2.7e-322,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7803738317757007,-1.1512878274962e-310,4.0474e-320,4.0395e-320,1.1507868141604e-311,1.150786827101e-311,3e-323,1.150786827109e-311,1.1507868136465e-311,1.150786813694e-311
72.65093457943925,1.150786813789e-311,1.1507868138363e-311,1.1507868138837e-311,3.5e-323,1.1507868271405e-311,1.150786813599e-311,1.1507868136465e-311,1.150786813694e-311,1.1507868137414e-311
13.407850467289718,1.1507868138363e-311,1.1507868138837e-311,3.5e-323,1.150786827176e-311,1.1507868135833e-311,1.1507868136307e-311,1.150786813678e-311,1.1507868137256e-311,1.150786813773e-311
72.65093457943925,1.150786813868e-311,1.124657769296e-312,1.150609082566e-311,0.0,1.150786827168e-311,2.54639520024e-313,5.3049897288e-313,5.726e-321,1.1507868272037e-311
0.17504672897196263,1.15078681135e-311,8.4e-323,1.1507868110655e-311,0.0,1.150786827168e-311,3.1829939375e-313,1.9097964633e-313,1.2e-322,1.1506113570386e-311
72.65093457943925,0.0,3.1829939375e-313,4.24399183297e-313,1.124657774834e-312,1.150786827243e-311,6.207e-320,1.150786810757e-311,5.613e-321,1.150786827243e-311
0.17504672897196263,1.1507868272907e-311,5.52e-321,1.150786827243e-311,1.03977799964e-312,1.1507868273065e-311,5.514e-321,1.150786827243e-311,6.207e-320,1.1507868273223e-311
2.684532710280374,1.150786827243e-311,6.207e-320,1.150786827338e-311,1.12465777466e-312,1.150786827243e-311,6.207e-320,1.150786827354e-311,5.415e-321,1.150786827243e-311
1.5183654205607477,1.1507868273697e-311,2e-323,1.150786827243e-311,0.0,1.039777937835e-312,1.145877727383e-312,0.0,0.0,1.6975968838e-313
13.407850467289718,4.99e-321,1.1507868274013e-311,6.207e-320,1.1507868106466e-311,5e-324,1.1507868274606e-311,1.1507868274013e-311,5.81e-321,0.0
8.95696261682243,0.0,5.776e-321,0.0,6.2074e-320,1.1507868274646e-311,1.039777943344e-312,0.0,6.2074e-320,1.1507868274804e-311
0.4970560747663551,0.0,6.2074e-320,1.150786827496e-311,5.59e-321,0.0,1.124657831286e-312,1.150786827512e-311,5.593e-321,0.0
0.05700934579439253,1.150786827528e-311,5.6e-321,0.0,6.2074e-320,1.1507868275436e-311,5.603e-321,0.0,1.01855804174e-312,1.1507868275594e-311
2.684532710280374,0.0,6.2074e-320,1.150786827575e-311,5.627e-321,0.0,6.2074e-320,1.150786827591e-311,1.145877732744e-312,0.0
13.407850467289718,1.150786827607e-311,5.613e-321,0.0,6.2074e-320,1.1507868276227e-311,5.52e-321,0.0,1.039777999647e-312,1.1507868276385e-311
13.407850467289718,0.0,6.2074e-320,1.1507868276543e-311,5.51e-321,0.0,6.2074e-320,1.15078682767e-311,1.12465777466e-312,0.0
2.7803738317757007,1.150786827686e-311,5.415e-321,0.0,6.2074e-320,1.1507868277017e-311,4.99e-321,0.0,6.2074e-320,1.1507868277175e-311
2.7803738317757007,1.150786827757e-311,1.150786810382e-311,1.1507868274527e-311,1e-323,1.150786827773e-311,1.1507868103304e-311,1.1507868274013e-311,5.405e-321,1.150786827765e-311
8.95696261682243,0.0,5e-324,1.1506361758928e-311,1.150786804955e-311,1.150786827765e-311,0.0,1.1507868099233e-311,0.0,8.4879856263e-314
0.05700934579439253,5e-324,1.15078682784e-311,1.1507868277966e-311,1.2e-322,1.150614096455e-311,5e-324,0.0,1.060998147e-313,2.7585947798e-313
2.7803738317757007,1.1507868279784e-311,6.209e-320,0.0,5.59e-321,1.1507868279784e-311,6.209e-320,1.1507868278677e-311,5.593e-321,1.1507868279784e-311
13.407850467289718,1.1507868278835e-311,1.18831764854e-312,1.1507868279784e-311,6.209e-320,1.1507868278993e-311,5.603e-321,1.1507868279784e-311,6.209e-320,1.150786827915e-311
0.17504672897196263,1.1507868279784e-311,1.14587778921e-312,1.150786827931e-311,5.627e-321,1.1507868279784e-311,6.209e-320,1.150786827947e-311,1.2e-322,1.150614096455e-311
8.95696261682243,0.0,1.060998147e-313,2.7585947798e-313,1.2e-322,1.150614096455e-311,5e-324,0.0,1.060998147e-313,2.7585947798e-313
13.407850467289718,1.1507868279784e-311,1.1246578313e-312,1.1507868279626e-311,5.613e-321,1.1507868279784e-311,6.209e-320,1.150786828026e-311,5.52e-321,1.1507868279784e-311
2.7803738317757007,1.1507868280416e-311,5.514e-321,1.1507868279784e-311,1.06099795757e-312,1.1507868280574e-311,5.51e-321,1.1507868279784e-311,6.209e-320,1.1507868280733e-311
0.05700934579439253,1.1507868279784e-311,6.209e-320,1.150786828089e-311,5e-324,1.1507868281286e-311,1.1507868279784e-311,1.2e-322,1.1507160318575e-311,5e-324
8.95696261682243,1.69759688435e-313,2.97079435893e-313,1.2e-322,1.1506113593785e-311,1.103437811307e-312,0.0,1.6975968844e-313,2.5463952008e-313,1.1506113593785e-311
0.4970560747663551,0.0,1.6975968844e-313,2.5463952008e-313,1.12465776933e-312,1.150611209499e-311,5e-324,0.0,1.69759688445e-313,2.75859477993e-313
0.4970560747663551,1.1507868289823e-311,6.2163e-320,0.0,5.59e-321,1.150786828334e-311,1.145877789255e-312,1.1507868282235e-311,5.593e-321,1.150786828334e-311
1.444906542056075,1.1507868282393e-311,5.6e-321,1.150786828334e-311,6.2134e-320,1.150786828255e-311,1.167097690634e-312,1.150786828334e-311,6.2134e-320,1.150786828271e-311
13.407850467289718,1.150786828334e-311,6.2134e-320,1.1507868282867e-311,5.627e-321,1.150786828334e-311,1.039777999707e-312,1.1507868283025e-311,1.2e-322,1.1506116777623e-311
72.65093457943925,0.0,3.18299393812e-313,4.8805905709e-313,1.2e-322,1.1506116777623e-311,1.124657769217e-312,1.167097685273e-312,3.18299393812e-313,4.8805905709e-313
8.95696261682243,1.150786828334e-311,6.2134e-320,1.1507868283183e-311,5.613e-321,1.150786828334e-311,6.2134e-320,1.1507868283816e-311,1.01855798525e-312,1.150786828508e-311
2.7803738317757007,0.0,5.593e-321,1.150786828508e-311,6.2144e-320,1.150786828413e-311,5.6e-321,1.150786828508e-311,1.188317705084e-312,1.150786828429e-311
8.95696261682243,1.150786828508e-311,6.2144e-320,1.150786828445e-311,5.61e-321,1.150786828508e-311,6.2144e-320,1.1507868284606e-311,1.0397779432e-312,1.150786828508e-311
0.05700934579439253,1.1507868284764e-311,1.2e-322,1.1506117040703e-311,5e-324,0.0,5.5171893082e-313,7.00258636186e-313,1.12465776933e-312,1.1506117040703e-311
1.5183654205607477,0.0,5.5171893082e-313,7.00258636186e-313,5.62e-321,1.150786828508e-311,6.2144e-320,1.150786828492e-311,5.613e-321,1.150786828508e-311
1.444906542056075,1.1507868285555e-311,1.5e-323,1.150786828334e-311,5e-323,1.150786828508e-311,3.18299393812e-313,7.00258636186e-313,5.59e-321,1.1507868287057e-311
1.444906542056075,0.0,5.593e-321,1.1507868287057e-311,6.2153e-320,1.150786828611e-311,5.6e-321,1.1507868287057e-311,6.2153e-320,1.1507868286266e-311
2.684532710280374,1.1507868287057e-311,6.2153e-320,1.1507868286424e-311,5.61e-321,1.1507868287057e-311,6.2153e-320,1.150786828658e-311,5.627e-321,1.1507868287057e-311
13.407850467289718,1.150786828674e-311,1.2e-322,1.150639354324e-311,5e-324,0.0,7.63918509915e-313,8.91238257373e-313,1.2e-322,1.150639354324e-311
0.4970560747663551,1.039777937835e-312,7.63918509915e-313,8.91238257373e-313,5.62e-321,1.1507868287057e-311,6.2153e-320,1.15078682869e-311,5.613e-321,1.1507868287057e-311
1.5183654205607477,1.150786828753e-311,1.188317642955e-312,1.150786828587e-311,5e-323,1.1507868287057e-311,3.18299393812e-313,8.91238257373e-313,5.59e-321,1.1507868289033e-311
2.684532710280374,0.0,1.039777943166e-312,1.1507868289033e-311,6.2163e-320,1.1507868288084e-311,5.6e-321,1.1507868289033e-311,6.2163e-320,1.150786828824e-311
0.4970560747663551,1.1507868289033e-311,1.124657831375e-312,1.15078682884e-311,5.61e-321,1.1507868289033e-311,6.2163e-320,1.150786828856e-311,5.627e-321,1.1507868289033e-311
8.95696261682243,1.1507868288717e-311,1.2e-322,1.1506393303557e-311,1.06099789549e-312,0.0,9.548981311e-313,1.14587775229e-312,1.2e-322,1.1506393303557e-311
1.5183654205607477,0.0,9.548981311e-313,1.14587775229e-312,1.209537606473e-312,1.1507868289033e-311,6.2163e-320,1.1507868288875e-311,5.613e-321,1.1507868289033e-311
0.17504672897196263,1.1507868289507e-311,1.5e-323,1.1507868287847e-311,1.03977793762e-312,1.1507868289033e-311,3.18299393812e-313,1.14587775229e-312,5.52e-321,1.1507868289823e-311
2.7803738317757007,1.1507868283974e-311,5.514e-321,1.1507868289823e-311,1.124657831375e-312,1.150786829006e-311,5.51e-321,1.1507868289823e-311,6.2163e-320,1.150786829022e-311
72.65093457943925,1.1507868289823e-311,6.2163e-320,1.1507868290377e-311,1.150611209499e-311,1.1507868289823e-311,0.0,1.69759688445e-313,1.14587775229e-312,1.2e-322
2.684532710280374,5e-324,0.0,1.69759688445e-313,2.75859477993e-313,1.150611209499e-311,1.1507868289823e-311,0.0,1.69759688445e-313,1.14587775229e-312
1.5183654205607477,1.1507868291404e-311,1.15078682818e-311,1.2e-322,1.1506113593785e-311,5e-324,1.039777937835e-312,1.6975968844e-313,2.5463952008e-313,1.1506113593785e-311
1.5183654205607477,0.0,1.6975968844e-313,2.5463952008e-313,1.2e-322,1.150611209499e-311,1.124657769217e-312,1.20953760109e-312,1.69759688445e-313,2.75859477993e-313
1.5183654205607477,1.1507868289823e-311,0.0,1.69759688445e-313,1.14587775229e-312,1.2e-322,1.150611209499e-311,1.06099789549e-312,1.0185579799e-312,1.69759688445e-313
72.65093457943925,1.150611209499e-311,1.1507868289823e-311,0.0,1.69759688445e-313,1.14587775229e-312,5e-324,1.1507868292827e-311,1.150786829168e-311,1.2e-322
1.5183654205607477,5e-324,0.0,1.6975968844e-313,2.5463952008e-313,1.1506113593785e-311,0.0,0.0,1.6975968844e-313,2.5463952008e-313
1.444906542056075,1.150611209499e-311,5e-324,0.0,1.69759688445e-313,2.75859477993e-313,1.150611209499e-311,1.1507868289823e-311,0.0,1.69759688445e-313
1.444906542056075,1.2e-322,1.150611209499e-311,5e-324,0.0,1.69759688445e-313,2.75859477993e-313,1.150611209499e-311,1.1507868289823e-311,0.0
8.95696261682243,1.14587775229e-312,5e-324,1.150786829425e-311,1.1507868293104e-311,1.2e-322,1.150611209499e-311,5e-324,0.0,1.69759688445e-313
13.407850467289718,1.150611209499e-311,1.1507868289823e-311,0.0,1.69759688445e-313,1.14587775229e-312,5.583e-321,1.150786829583e-311,6.2173e-320,0.0
1.444906542056075,1.150786829583e-311,6.2173e-320,1.1507868294725e-311,5.593e-321,1.150786829583e-311,6.2173e-320,1.1507868294883e-311,5.6e-321,1.150786829583e-311
2.684532710280374,1.150786829504e-311,5.603e-321,1.150786829583e-311,6.2173e-320,1.15078682952e-311,5.61e-321,1.150786829583e-311,6.2173e-320,1.1507868295357e-311
13.407850467289718,1.150786829583e-311,1.188317705114e-312,1.1507868295515e-311,1e-322,6.95241852319504e-310,0.0,0.0,1.20953762602e-312,1.273197499747e-312
0.17504672897196263,6.95241852319504e-310,0.0,2.8e-322,1.20953762602e-312,1.273197499747e-312,5.62e-321,1.150786829583e-311,6.2173e-320,1.1507868295673e-311
2.7803738317757007,1.150786829583e-311,1.060997957656e-312,1.1507868296306e-311,5.52e-321,1.150786829583e-311,6.2173e-320,1.1507868296464e-311,5.514e-321,1.150786829583e-311
72.65093457943925,1.150786829662e-311,1.12465777472e-312,1.150786829583e-311,6.2173e-320,1.150786829678e-311,5.45e-321,1.150786829583e-311,6.2173e-320,1.150786829694e-311
13.407850467289718,1.150786829583e-311,5e-324,1.150786829741e-311,1.1507868297254e-311,1.2e-322,1.1506113593785e-311,5e-324,0.0,1.6975968844e-313
0.4970560747663551,1.1506113593785e-311,0.0,0.0,1.6975968844e-313,2.5463952008e-313,1.2e-322,1.150611209499e-311,5e-324,0.0
0.4970560747663551,2.75859477993e-313,1.150611209499e-311,1.1507868289823e-311,0.0,1.69759688445e-313,1.14587775229e-312,1.2e-322,1.150611209499e-311,5e-324
0.4970560747663551,1.69759688445e-313,2.75859477993e-313,1.150611209499e-311,1.1507868289823e-311,0.0,1.69759688445e-313,1.14587775229e-312,5e-324,1.1507868298835e-311
1.444906542056075,1.2e-322,1.150611209499e-311,5e-324,0.0,1.69759688445e-313,2.75859477993e-313,1.150611209499e-311,1.1507868289823e-311,0.0
2.684532710280374,1.14587775229e-312,1.150786829911e-311,1.150786829583e-311,5e-324,1.150786829947e-311,1.150786829931e-311,1.2e-322,1.1506113593785e-311,5e-324
0.4970560747663551,1.6975968844e-313,2.5463952008e-313,1.1506113593785e-311,0.0,0.0,1.6975968844e-313,2.5463952008e-313,1.2e-322,1.150611209499e-311
0.17504672897196263,0.0,1.69759688445e-313,2.75859477993e-313,1.150611209499e-311,1.1507868289823e-311,0.0,1.69759688445e-313,1.14587775229e-312,1.2e-322
0.4970560747663551,5e-324,0.0,1.69759688445e-313,2.75859477993e-313,1.150611209499e-311,1.1507868289823e-311,0.0,1.69759688445e-313,1.14587775229e-312
72.65093457943925,1.150786830089e-311,1.1507868299744e-311,1.2e-322,1.150611209499e-311,5e-324,0.0,1.69759688445e-313,2.75859477993e-313,1.150611209499e-311
8.95696261682243,0.0,1.69759688445e-313,1.14587775229e-312,1.1507868301167e-311,1.150786829583e-311,5e-324,1.1507868301523e-311,1.1507868301365e-311,1.0609978956e-312
72.65093457943925,5e-324,0.0,1.69759688455e-313,2.97079435913e-313,5.583e-321,1.1507868305436e-311,6.2213e-320,0.0,1.06099790107e-312
2.684532710280374,6.2203e-320,1.15078683018e-311,5.593e-321,1.1507868302906e-311,6.2203e-320,1.150786830196e-311,5.6e-321,1.1507868302906e-311,1.060997957686e-312
8.95696261682243,5.603e-321,1.1507868302906e-311,6.2203e-320,1.1507868302274e-311,5.61e-321,1.1507868302906e-311,6.2203e-320,1.150786830243e-311,1.12465777484e-312
0.05700934579439253,6.2203e-320,1.150786830259e-311,1.2e-322,1.150714786812e-311,5e-324,0.0,3.3951935173e-313,6.15378804558e-313,1.2e-322
72.65093457943925,1.145877727126e-312,0.0,3.3951935173e-313,6.15378804558e-313,5.62e-321,1.1507868302906e-311,6.2203e-320,1.150786830275e-311,5.613e-321
2.684532710280374,1.060997957686e-312,1.150786830338e-311,5.59e-321,1.1507868304645e-311,6.2213e-320,0.0,5.593e-321,1.1507868304645e-311,6.2213e-320
8.95696261682243,1.06099790108e-312,1.1507868304645e-311,6.2213e-320,1.1507868303855e-311,5.603e-321,1.1507868304645e-311,6.2213e-320,1.1507868304013e-311,5.61e-321
72.65093457943925,1.124657831424e-312,1.150786830417e-311,5.627e-321,1.1507868304645e-311,6.2213e-320,1.150786830433e-311,1e-322,6.9524185228385e-310,0.0
72.65093457943925,6.79038678286e-313,7.63918509925e-313,1.01855797976e-312,6.9524185228385e-310,0.0,0.0,6.79038678286e-313,7.63918509925e-313,5.62e-321
13.407850467289718,6.2213e-320,1.1507868304487e-311,1.082217859005e-312,1.1507868304645e-311,6.2213e-320,1.150786830512e-311,1.5e-323,1.1507868302906e-311,5e-323
13.407850467289718,3.3951935173e-313,7.63918509925e-313,1.060997901e-312,1.1507868305436e-311,6.2213e-320,1.150786830354e-311,5.514e-321,1.1507868305436e-311,6.2213e-320
1.5183654205607477,5.51e-321,1.1507868305436e-311,1.124657831424e-312,1.150786830583e-311,5.45e-321,1.1507868305436e-311,6.2213e-320,1.150786830599e-311,1.150611441686e-311
0.4970560747663551,0.0,1.69759688455e-313,7.63918509925e-313,1.060997901066e-312,1.150786830761e-311,6.2223e-320,0.0,5.59e-321,1.150786830761e-311
13.407850467289718,1.1507868306503e-311,5.593e-321,1.150786830761e-311,1.124657831434e-312,1.150786830666e-311,5.6e-321,1.150786830761e-311,6.2223e-320,1.150786830682e-311
0.4970560747663551,1.150786830761e-311,6.2223e-320,1.1507868306977e-311,5.61e-321,1.150786830761e-311,1.145877789344e-312,1.1507868307135e-311,5.627e-321,1.150786830761e-311
0.4970560747663551,1.1507868307294e-311,1e-322,6.95241852319504e-310,0.0,1.12465776921e-312,8.27578383654e-313,8.91238257383e-313,1e-322,6.95241852319504e-310
8.95696261682243,0.0,8.27578383654e-313,8.91238257383e-313,5.62e-321,1.150786830761e-311,1.060997957705e-312,1.150786830745e-311,5.613e-321,1.150786830761e-311
0.4970560747663551,1.1507868308084e-311,5.52e-321,1.150786830761e-311,6.2223e-320,1.150786830824e-311,1.124657774725e-312,1.150786830761e-311,6.2223e-320,1.15078683084e-311
0.17504672897196263,1.150786830761e-311,6.2223e-320,1.150786830856e-311,5.45e-321,1.150786830761e-311,6.2223e-320,1.1507868308716e-311,1.1507868306305e-311,1.150786830761e-311
72.65093457943925,1.150650911539e-311,5e-324,0.0,1.6975968846e-313,2.546395201e-313,5.583e-321,1.1507868143343e-311,1.103437873554e-312,0.0
0.17504672897196263,1.1507868310456e-311,6.224e-320,1.150786830935e-311,5.593e-321,1.1507868310456e-311,6.224e-320,1.1507868309507e-311,1.06099790108e-312,1.1507868310456e-311
1.5183654205607477,1.1507868309665e-311,5.603e-321,1.1507868310456e-311,6.224e-320,1.1507868309823e-311,5.61e-321,1.1507868310456e-311,1.124657831454e-312,1.150786830998e-311
2.7803738317757007,1.1507868310456e-311,6.224e-320,1.150786831014e-311,1.2e-322,1.150714785832e-311,5e-324,0.0,2.9707943592e-313,3.81959267556e-313
1.5183654205607477,1.150714785832e-311,5e-324,0.0,2.9707943592e-313,3.81959267556e-313,5.62e-321,1.1507868310456e-311,6.224e-320,1.1507868310297e-311
0.17504672897196263,1.1507868310456e-311,6.224e-320,1.150786831093e-311,5.59e-321,1.150786814255e-311,6.225e-320,0.0,0.0,0.0
0.05700934579439253,1.14587772738e-312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.444906542056075,1.10343781155e-312,2.7e-322,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05700934579439253,1.060997895744e-312,1.188317643197e-312,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7803738317757007,1.12465776921e-312,1.10343781155e-312,2.8e-322,0.0,0.0,0.0,0.0,0.0,0.0
2.684532710280374,0.0,1.060997895744e-312,1.018557979925e-312,0.0,0.0,0.0,0.0,0.0,0.0
1.444906542056075,0.0,1.12465776921e-312,1.12465776946e-312,2.4e-322,0.0,0.0,0.0,0.0,0.0
0.17504672897196263,-1.19521137568206e-310,4.0474e-320,4.0474e-320,1.1507868012356e-311,1.150786831409e-311,5.514e-321,1.150786787959e-311,6.147e-320,1.150786788038e-311
1.444906542056075,1.150786787959e-311,6.147e-320,1.150786831409e-311,1.12465777466e-312,1.150786787959e-311,6.147e-320,1.150786831425e-311,1.1507867878286e-311,1.150786787959e-311
1.5183654205607477,1.150716565638e-311,5e-324,0.0,1.69759687877e-313,3.18299393244e-313,5.583e-321,1.150786831599e-311,6.149e-320,0.0
0.4970560747663551,1.150786831599e-311,6.149e-320,1.150786831488e-311,1.124657774804e-312,1.150786831599e-311,6.149e-320,1.150786831504e-311,5.6e-321,1.150786831599e-311
8.95696261682243,1.15078683152e-311,5.603e-321,1.150786831599e-311,6.149e-320,1.1507868315357e-311,1.14587773273e-312,1.150786831599e-311,6.149e-320,1.1507868315515e-311
1.444906542056075,1.150786831599e-311,6.149e-320,1.1507868315673e-311,1.2e-322,1.150611356406e-311,1.124657769217e-312,2.7e-322,3.60739309064e-313,4.456191407e-313
13.407850467289718,1.150611356406e-311,5e-324,0.0,3.60739309064e-313,4.456191407e-313,1.060997901105e-312,1.150786831599e-311,6.149e-320,1.150786831583e-311
2.684532710280374,1.150786831599e-311,6.149e-320,1.1507868316463e-311,5.52e-321,1.150786831599e-311,1.124657830703e-312,1.150786831662e-311,5.514e-321,1.150786831599e-311
1.444906542056075,1.150786831678e-311,5.51e-321,1.150786831599e-311,6.149e-320,1.150786831694e-311,5.45e-321,1.150786831599e-311,1.018558041155e-312,1.1507868317096e-311
2.684532710280374,1.150786831599e-311,0.0,1.69759687877e-313,4.456191407e-313,5.583e-321,1.1507868318716e-311,1.124657830713e-312,0.0,5.59e-321
13.407850467289718,6.15e-320,1.150786831761e-311,5.593e-321,1.1507868318716e-311,6.15e-320,1.150786831777e-311,5.6e-321,1.1507868318716e-311,1.060997956984e-312
13.407850467289718,5.603e-321,1.1507868318716e-311,6.15e-320,1.1507868318084e-311,5.61e-321,1.1507868318716e-311,6.15e-320,1.150786831824e-311,1.14587773275e-312
1.444906542056075,6.15e-320,1.15078683184e-311,1e-322,6.95241852319504e-310,0.0,0.0,5.0927901443e-313,5.7293888816e-313,1.06099789558e-312
0.17504672897196263,0.0,0.0,5.0927901443e-313,5.7293888816e-313,5.62e-321,1.1507868318716e-311,6.15e-320,1.150786831856e-311,1.124657774824e-312
0.4970560747663551,6.15e-320,1.150786831919e-311,5.52e-321,1.1507868318716e-311,6.15e-320,1.150786831935e-311,5.514e-321,1.1507868318716e-311,6.15e-320
13.407850467289718,1.14587773263e-312,1.1507868318716e-311,6.15e-320,1.1507868319665e-311,5.45e-321,1.1507868318716e-311,6.15e-320,1.1507868319823e-311,1.150786831741e-311
0.05700934579439253,1.14587772724e-312,1.15061148412e-311,5e-324,0.0,1.6975968788e-313,2.9707943534e-313,5.583e-321,1.150786832156e-311,6.152e-320
72.65093457943925,1.06099790107e-312,1.150786832156e-311,6.152e-320,1.1507868320455e-311,5.593e-321,1.150786832156e-311,6.152e-320,1.1507868320614e-311,5.6e-321
0.17504672897196263,1.124657830733e-312,1.150786832077e-311,5.603e-321,1.150786832156e-311,6.152e-320,1.150786832093e-311,5.61e-321,1.150786832156e-311,6.152e-320
0.4970560747663551,5.627e-321,1.150786832156e-311,1.018558041184e-312,1.1507868321246e-311,1.2e-322,1.1507147870334e-311,5e-324,0.0,3.3951935116e-313
2.7803738317757007,1.2e-322,1.1507147870334e-311,1.167097685036e-312,2.4e-322,3.3951935116e-313,5.72938888165e-313,5.62e-321,1.150786832156e-311,6.152e-320
2.7803738317757007,5.613e-321,1.150786832156e-311,1.060997957004e-312,1.1507868322036e-311,5.52e-321,1.150786832156e-311,6.152e-320,1.1507868322195e-311,5.514e-321
0.4970560747663551,6.152e-320,1.1507868322353e-311,1.12465777472e-312,1.150786832156e-311,6.152e-320,1.150786832251e-311,5.45e-321,1.150786832156e-311,6.152e-320
13.407850467289718,1.15061148412e-311,1.150786832156e-311,0.0,1.6975968788e-313,5.72938888165e-313,5.583e-321,1.150786832429e-311,6.153e-320,0.0
13.407850467289718,1.150786832429e-311,6.153e-320,1.1507868323183e-311,1.124657774804e-312,1.150786832429e-311,6.153e-320,1.150786832334e-311,5.6e-321,1.150786832429e-311
1.5183654205607477,1.15078683235e-311,5.603e-321,1.150786832429e-311,6.153e-320,1.1507868323657e-311,1.14587773273e-312,1.150786832429e-311,6.153e-320,1.1507868323815e-311
1.5183654205607477,1.150786832429e-311,6.153e-320,1.1507868323973e-311,1e-322,6.95241852319504e-310,0.0,2.7e-322,6.36598761894e-313,7.00258635623e-313
13.407850467289718,6.95241852319504e-310,0.0,0.0,6.36598761894e-313,7.00258635623e-313,1.060997901105e-312,1.150786832429e-311,6.153e-320,1.150786832413e-311
1.444906542056075,1.150786832429e-311,6.153e-320,1.1507868324764e-311,5.52e-321,1.150786832429e-311,1.124657830743e-312,1.150786832492e-311,5.514e-321,1.150786832429e-311
1.5183654205607477,1.150786832508e-311,5.51e-321,1.150786832429e-311,6.153e-320,1.150786832524e-311,5.45e-321,1.150786832429e-311,1.018558041194e-312,1.1507868325396e-311
0.17504672897196263,1.150786832429e-311,3e-323,1.150786832587e-311,1.150786786232e-311,1.150786786789e-311,1.1507867873464e-311,1.1507868314566e-311,1.150786832014e-311,1.150786832571e-311
13.407850467289718,1.150786832579e-311,0.0,0.0,1.1507868326305e-311,0.0,5e-324,1.1507868326424e-311,1.150786785643e-311,1e-323
0.05700934579439253,1.1507867855006e-311,1.150786785643e-311,5e-324,1.15078683267e-311,1.1507867851093e-311,3e-323,1.150786832682e-311,1.150786785959e-311,1.1507867865164e-311
1.5183654205607477,1.1507867878286e-311,1.150786831741e-311,1.1507868322985e-311,3e-323,1.1507868327135e-311,1.1507867860895e-311,1.150786786647e-311,1.150786787204e-311,1.150786787959e-311
2.7803738317757007,1.150786832429e-311,1.1507868326226e-311,1.1507868326463e-311,0.0,1.150786832674e-311,1.1507868327056e-311,0.0,1.150786832662e-311,1.124657774795e-312
13.407850467289718,6.156e-320,0.0,5.59e-321,1.1507868328756e-311,6.155e-320,1.150786832765e-311,5.593e-321,1.1507868328756e-311,6.155e-320
0.4970560747663551,1.14587773272e-312,1.1507868328756e-311,6.155e-320,1.1507868327965e-311,5.603e-321,1.1507868328756e-311,6.155e-320,1.1507868328123e-311,5.61e-321
8.95696261682243,1.18831770449e-312,1.150786832828e-311,5.627e-321,1.1507868328756e-311,6.155e-320,1.150786832844e-311,1.2e-322,1.150639354324e-311,5e-324
2.684532710280374,1.90979645796e-313,3.18299393254e-313,1.2e-322,1.150639354324e-311,5e-324,0.0,1.90979645796e-313,3.18299393254e-313,5.62e-321
13.407850467289718,1.12465783076e-312,1.15078683286e-311,5.613e-321,1.1507868328756e-311,6.155e-320,1.150786832923e-311,5.59e-321,1.1507868330495e-311,6.156e-320
1.444906542056075,5.593e-321,1.1507868330495e-311,1.018558041224e-312,1.1507868329546e-311,5.6e-321,1.1507868330495e-311,6.156e-320,1.1507868329704e-311,5.603e-321
72.65093457943925,6.156e-320,1.150786832986e-311,1.20953760646e-312,1.1507868330495e-311,6.156e-320,1.150786833002e-311,5.627e-321,1.1507868330495e-311,6.156e-320
8.95696261682243,1e-322,6.9524185228385e-310,0.0,1.060997895764e-312,3.81959266983e-313,4.6683909862e-313,1e-322,6.9524185228385e-310,0.0
2.7803738317757007,3.81959266983e-313,4.6683909862e-313,1.124657774834e-312,1.1507868330495e-311,6.156e-320,1.1507868330337e-311,5.613e-321,1.1507868330495e-311,6.156e-320
8.95696261682243,1.5e-323,1.1507868328756e-311,5e-323,1.1507868330495e-311,1.90979645796e-313,4.6683909862e-313,5.52e-321,1.1507868331285e-311,6.156e-320
